ticker,observation_date,value
EPA00CCZ Index,2000-02-29,0.2
EPA00CCZ Index,2000-03-31,0.6
EPA00CCZ Index,2000-04-30,1.2
EPA00CCZ Index,2000-05-31,0.2
EPA00CCZ Index,2000-06-30,0.1
EPA00CCZ Index,2000-07-31,-0.1
EPA00CCZ Index,2000-08-31,0.4
EPA00CCZ Index,2000-09-30,0.8
EPA00CCZ Index,2000-10-31,0.1
EPA00CCZ Index,2000-11-30,-0.2
EPA00CCZ Index,2000-12-31,-0.4
EPA00CCZ Index,2001-01-31,-0.3
EPA00CCZ Index,2001-02-28,0.0
EPA00CCZ Index,2001-03-31,0.4
EPA00CCZ Index,2001-04-30,0.5
EPA00CCZ Index,2001-05-31,0.1
EPA00CCZ Index,2001-06-30,0.0
EPA00CCZ Index,2001-07-31,0.0
EPA00CCZ Index,2001-08-31,-0.2
EPA00CCZ Index,2001-09-30,0.0
EPA00CCZ Index,2001-10-31,-0.9
EPA00CCZ Index,2001-11-30,-0.7
EPA00CCZ Index,2001-12-31,-1.0
EPA00CCZ Index,2002-01-31,-0.6
EPA00CCZ Index,2002-02-28,-0.3
EPA00CCZ Index,2002-03-31,-0.6
EPA00CCZ Index,2002-04-30,-0.8
EPA00CCZ Index,2002-05-31,-0.1
EPA00CCZ Index,2002-06-30,-0.8
EPA00CCZ Index,2002-07-31,-0.9
EPA00CCZ Index,2002-08-31,0.7
EPA00CCZ Index,2002-09-30,-0.5
EPA00CCZ Index,2002-10-31,0.3
EPA00CCZ Index,2002-11-30,0.0
EPA00CCZ Index,2002-12-31,0.2
EPA00CCZ Index,2003-01-31,0.1
EPA00CCZ Index,2003-02-28,0.2
EPA00CCZ Index,2003-03-31,0.6
EPA00CCZ Index,2003-04-30,-0.2
EPA00CCZ Index,2003-05-31,-0.6
EPA00CCZ Index,2003-06-30,-0.3
EPA00CCZ Index,2003-07-31,0.2
EPA00CCZ Index,2003-08-31,0.7
EPA00CCZ Index,2003-09-30,0.5
EPA00CCZ Index,2003-10-31,-0.5
EPA00CCZ Index,2003-11-30,0.2
EPA00CCZ Index,2003-12-31,0.3
EPA00CCZ Index,2004-01-31,0.5
EPA00CCZ Index,2004-02-29,0.4
EPA00CCZ Index,2004-03-31,0.9
EPA00CCZ Index,2004-04-30,0.9
EPA00CCZ Index,2004-05-31,0.3
EPA00CCZ Index,2004-06-30,0.4
EPA00CCZ Index,2004-07-31,0.5
EPA00CCZ Index,2004-08-31,0.4
EPA00CCZ Index,2004-09-30,0.2
EPA00CCZ Index,2004-10-31,0.3
EPA00CCZ Index,2004-11-30,-0.3
EPA00CCZ Index,2004-12-31,-0.8
EPA00CCZ Index,2005-01-31,-1.1
EPA00CCZ Index,2005-02-28,0.0
EPA00CCZ Index,2005-03-31,0.0
EPA00CCZ Index,2005-04-30,0.3
EPA00CCZ Index,2005-05-31,-0.2
EPA00CCZ Index,2005-06-30,-0.2
EPA00CCZ Index,2005-07-31,0.1
EPA00CCZ Index,2005-08-31,-0.7
EPA00CCZ Index,2005-09-30,-0.2
EPA00CCZ Index,2005-10-31,0.7
EPA00CCZ Index,2005-11-30,-0.6
EPA00CCZ Index,2005-12-31,-0.8
EPA00CCZ Index,2006-01-31,-0.2
EPA00CCZ Index,2006-02-28,-0.2
EPA00CCZ Index,2006-03-31,0.3
EPA00CCZ Index,2006-04-30,0.2
EPA00CCZ Index,2006-05-31,0.0
EPA00CCZ Index,2006-06-30,0.4
EPA00CCZ Index,2006-07-31,0.4
EPA00CCZ Index,2006-08-31,0.1
EPA00CCZ Index,2006-09-30,0.2
EPA00CCZ Index,2006-10-31,0.1
EPA00CCZ Index,2006-11-30,-0.4
EPA00CCZ Index,2006-12-31,-0.4
EPA00CCZ Index,2007-01-31,0.3
EPA00CCZ Index,2007-02-28,1.0
EPA00CCZ Index,2007-03-31,0.2
EPA00CCZ Index,2007-04-30,0.1
EPA00CCZ Index,2007-05-31,0.9
EPA00CCZ Index,2007-06-30,0.8
EPA00CCZ Index,2007-07-31,0.1
EPA00CCZ Index,2007-08-31,-0.5
EPA00CCZ Index,2007-09-30,-0.4
EPA00CCZ Index,2007-10-31,-0.2
EPA00CCZ Index,2007-11-30,-0.7
EPA00CCZ Index,2007-12-31,-0.8
EPA00CCZ Index,2008-01-31,0.0
EPA00CCZ Index,2008-02-29,-0.4
EPA00CCZ Index,2008-03-31,-0.1
EPA00CCZ Index,2008-04-30,-0.1
EPA00CCZ Index,2008-05-31,0.7
EPA00CCZ Index,2008-06-30,-0.7
EPA00CCZ Index,2008-07-31,-0.6
EPA00CCZ Index,2008-08-31,1.8
EPA00CCZ Index,2008-09-30,0.4
EPA00CCZ Index,2008-10-31,-0.2
EPA00CCZ Index,2008-11-30,-1.0
EPA00CCZ Index,2008-12-31,0.0
EPA00CCZ Index,2009-01-31,0.8
EPA00CCZ Index,2009-02-28,2.2
EPA00CCZ Index,2009-03-31,-2.9
EPA00CCZ Index,2009-04-30,-1.1
EPA00CCZ Index,2009-05-31,-0.9
EPA00CCZ Index,2009-06-30,-0.3
EPA00CCZ Index,2009-07-31,-1.6
EPA00CCZ Index,2009-08-31,-0.2
EPA00CCZ Index,2009-09-30,-0.8
EPA00CCZ Index,2009-10-31,0.6
EPA00CCZ Index,2009-11-30,0.2
EPA00CCZ Index,2009-12-31,0.6
EPA00CCZ Index,2010-01-31,0.7
EPA00CCZ Index,2010-02-28,-0.1
EPA00CCZ Index,2010-03-31,-0.5
EPA00CCZ Index,2010-04-30,0.5
EPA00CCZ Index,2010-05-31,1.6
EPA00CCZ Index,2010-06-30,0.9
EPA00CCZ Index,2010-07-31,-0.9
EPA00CCZ Index,2010-08-31,-1.2
EPA00CCZ Index,2010-09-30,0.0
EPA00CCZ Index,2010-10-31,-0.5
EPA00CCZ Index,2010-11-30,0.7
EPA00CCZ Index,2010-12-31,1.8
EPA00CCZ Index,2011-01-31,-0.3
EPA00CCZ Index,2011-02-28,0.2
EPA00CCZ Index,2011-03-31,0.8
EPA00CCZ Index,2011-04-30,0.6
EPA00CCZ Index,2011-05-31,0.4
EPA00CCZ Index,2011-06-30,-0.2
EPA00CCZ Index,2011-07-31,0.1
EPA00CCZ Index,2011-08-31,-0.1
EPA00CCZ Index,2011-09-30,0.7
EPA00CCZ Index,2011-10-31,0.5
EPA00CCZ Index,2011-11-30,1.2
EPA00CCZ Index,2011-12-31,0.2
EPA00CCZ Index,2012-01-31,0.6
EPA00CCZ Index,2012-02-29,-0.7
EPA00CCZ Index,2012-03-31,-0.4
EPA00CCZ Index,2012-04-30,0.4
EPA00CCZ Index,2012-05-31,1.0
EPA00CCZ Index,2012-06-30,0.3
EPA00CCZ Index,2012-07-31,-0.5
EPA00CCZ Index,2012-08-31,-0.2
EPA00CCZ Index,2012-09-30,-0.6
EPA00CCZ Index,2012-10-31,0.3
EPA00CCZ Index,2012-11-30,0.6
EPA00CCZ Index,2012-12-31,-0.5
EPA00CCZ Index,2013-01-31,0.6
EPA00CCZ Index,2013-02-28,-0.1
EPA00CCZ Index,2013-03-31,0.3
EPA00CCZ Index,2013-04-30,-0.1
EPA00CCZ Index,2013-05-31,0.0
EPA00CCZ Index,2013-06-30,-0.4
EPA00CCZ Index,2013-07-31,0.4
EPA00CCZ Index,2013-08-31,-0.5
EPA00CCZ Index,2013-09-30,0.1
EPA00CCZ Index,2013-10-31,-0.7
EPA00CCZ Index,2013-11-30,2.6
EPA00CCZ Index,2013-12-31,1.7
EPA00CCZ Index,2014-01-31,-0.1
EPA00CCZ Index,2014-02-28,-0.1
EPA00CCZ Index,2014-03-31,-0.3
EPA00CCZ Index,2014-04-30,0.1
EPA00CCZ Index,2014-05-31,0.0
EPA00CCZ Index,2014-06-30,0.1
EPA00CCZ Index,2014-07-31,0.3
EPA00CCZ Index,2014-08-31,0.4
EPA00CCZ Index,2014-09-30,-0.5
EPA00CCZ Index,2014-10-31,-0.3
EPA00CCZ Index,2014-11-30,-0.2
EPA00CCZ Index,2014-12-31,-1.0
EPA00CCZ Index,2015-01-31,-0.5
EPA00CCZ Index,2015-02-28,-0.3
EPA00CCZ Index,2015-03-31,0.1
EPA00CCZ Index,2015-04-30,0.4
EPA00CCZ Index,2015-05-31,0.3
EPA00CCZ Index,2015-06-30,-0.4
EPA00CCZ Index,2015-07-31,-0.6
EPA00CCZ Index,2015-08-31,-0.7
EPA00CCZ Index,2015-09-30,-0.6
EPA00CCZ Index,2015-10-31,-0.2
EPA00CCZ Index,2015-11-30,-0.2
EPA00CCZ Index,2015-12-31,-0.4
EPA00CCZ Index,2016-01-31,-0.9
EPA00CCZ Index,2016-02-29,-0.7
EPA00CCZ Index,2016-03-31,0.0
EPA00CCZ Index,2016-04-30,-0.1
EPA00CCZ Index,2016-05-31,0.2
EPA00CCZ Index,2016-06-30,0.3
EPA00CCZ Index,2016-07-31,-0.1
EPA00CCZ Index,2016-08-31,-0.1
EPA00CCZ Index,2016-09-30,0.1
EPA00CCZ Index,2016-10-31,0.2
EPA00CCZ Index,2016-11-30,0.3
EPA00CCZ Index,2016-12-31,0.5
EPA00CCZ Index,2017-01-31,0.8
EPA00CCZ Index,2017-02-28,0.4
EPA00CCZ Index,2017-03-31,0.0
EPA00CCZ Index,2017-04-30,0.0
EPA00CCZ Index,2017-05-31,-0.9
EPA00CCZ Index,2017-06-30,-1.1
EPA00CCZ Index,2017-07-31,-0.4
EPA00CCZ Index,2017-08-31,0.1
EPA00CCZ Index,2017-09-30,0.2
EPA00CCZ Index,2017-10-31,-0.3
EPA00CCZ Index,2017-11-30,-0.4
EPA00CCZ Index,2017-12-31,0.3
EPA00CCZ Index,2018-01-31,0.4
EPA00CCZ Index,2018-02-28,-0.5
EPA00CCZ Index,2018-03-31,0.4
EPA00CCZ Index,2018-04-30,0.1
EPA00CCZ Index,2018-05-31,1.2
EPA00CCZ Index,2018-06-30,0.9
EPA00CCZ Index,2018-07-31,0.2
EPA00CCZ Index,2018-08-31,-0.2
EPA00CCZ Index,2018-09-30,0.0
EPA00CCZ Index,2018-10-31,1.0
EPA00CCZ Index,2018-11-30,0.2
EPA00CCZ Index,2018-12-31,-0.8
EPA00CCZ Index,2019-01-31,-0.3
EPA00CCZ Index,2019-02-28,0.4
EPA00CCZ Index,2019-03-31,0.1
EPA00CCZ Index,2019-04-30,0.5
EPA00CCZ Index,2019-05-31,0.3
EPA00CCZ Index,2019-06-30,-0.8
EPA00CCZ Index,2019-07-31,-0.2
EPA00CCZ Index,2019-08-31,0.4
EPA00CCZ Index,2019-09-30,0.3
EPA00CCZ Index,2019-10-31,-0.5
EPA00CCZ Index,2019-11-30,-0.5
EPA00CCZ Index,2019-12-31,0.0
EPA00CCZ Index,2020-01-31,-0.5
EPA00CCZ Index,2020-02-29,-0.7
EPA00CCZ Index,2020-03-31,2.3
EPA00CCZ Index,2020-04-30,1.3
EPA00CCZ Index,2020-05-31,0.1
EPA00CCZ Index,2020-06-30,-1.1
EPA00CCZ Index,2020-07-31,-0.5
EPA00CCZ Index,2020-08-31,-1.0
EPA00CCZ Index,2020-09-30,1.2
EPA00CCZ Index,2020-10-31,1.2
EPA00CCZ Index,2020-11-30,-1.4
EPA00CCZ Index,2020-12-31,0.0
